,STATION,STATION_NAME,DATE,PRCP
4718,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-08,0.0
4719,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-09,0.22
4720,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-10,0.0
4721,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-11,0.0
4722,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-12,0.0
4723,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-13,0.0
4724,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-14,0.56
4725,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-15,0.0
4726,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-16,0.0
4727,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-17,0.0
4728,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-18,0.0
4729,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-19,0.68
4730,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-20,0.0
4731,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-21,0.0
4732,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-22,0.0
4733,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-23,0.01
4734,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-24,0.2
4735,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-25,0.0
4736,GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2016-09-26,0.0
