,TRANSITING,UN_STATION,DAY_OF_WEEK
156,104704.0,138GRANDCONC45,Saturday
157,63444.0,138GRANDCONC45,Sunday
158,113646.0,138GRANDCONC45,Thursday
159,95817.0,138GRANDCONC45,Tuesday
160,113576.0,138GRANDCONC45,Wednesday
161,298242.0,145ST1,Friday
162,207630.0,145ST1,Monday
163,283363.0,145ST1,Saturday
164,240246.0,145ST1,Sunday
165,297227.0,145ST1,Thursday
166,269674.0,145ST1,Tuesday
167,293937.0,145ST1,Wednesday
168,63953.0,145ST3,Friday
169,28624.0,145ST3,Monday
170,59364.0,145ST3,Saturday
171,36573.0,145ST3,Sunday
172,63931.0,145ST3,Thursday
173,54611.0,145ST3,Tuesday
174,62534.0,145ST3,Wednesday
175,812085.0,145STABCD,Friday
176,473081.0,145STABCD,Monday
177,726616.0,145STABCD,Saturday
178,563443.0,145STABCD,Sunday
179,807641.0,145STABCD,Thursday
180,705121.0,145STABCD,Tuesday
181,788555.0,145STABCD,Wednesday
182,372972.0,149GRANDCONC245,Friday
183,175532.0,149GRANDCONC245,Monday
184,309706.0,149GRANDCONC245,Saturday
185,219861.0,149GRANDCONC245,Sunday
186,371363.0,149GRANDCONC245,Thursday
187,321605.0,149GRANDCONC245,Tuesday
188,372833.0,149GRANDCONC245,Wednesday
189,1306828.0,14ST123FLM,Friday
190,680487.0,14ST123FLM,Monday
191,1174873.0,14ST123FLM,Saturday
192,795516.0,14ST123FLM,Sunday
193,1301522.0,14ST123FLM,Thursday
194,1074542.0,14ST123FLM,Tuesday
195,1259856.0,14ST123FLM,Wednesday
196,585948.0,14STACEL,Friday
197,254360.0,14STACEL,Monday
198,529192.0,14STACEL,Saturday
199,314831.0,14STACEL,Sunday
200,569862.0,14STACEL,Thursday
201,471734.0,14STACEL,Tuesday
202,548029.0,14STACEL,Wednesday
203,3247339.0,14STUNIONSQ456LNQR,Friday
204,1651872.0,14STUNIONSQ456LNQR,Monday
205,3056041.0,14STUNIONSQ456LNQR,Saturday
206,2124291.0,14STUNIONSQ456LNQR,Sunday
207,3286916.0,14STUNIONSQ456LNQR,Thursday
208,2765904.0,14STUNIONSQ456LNQR,Tuesday
209,3170431.0,14STUNIONSQ456LNQR,Wednesday
210,285805.0,14THSTREET1,Friday
211,90978.0,14THSTREET1,Monday
212,262678.0,14THSTREET1,Saturday
213,111530.0,14THSTREET1,Sunday
214,290579.0,14THSTREET1,Thursday
215,244191.0,14THSTREET1,Tuesday
216,281683.0,14THSTREET1,Wednesday
217,100527.0,155STBD,Friday
218,60721.0,155STBD,Monday
219,94978.0,155STBD,Saturday
220,74312.0,155STBD,Sunday
221,99756.0,155STBD,Thursday
222,90805.0,155STBD,Tuesday
223,98616.0,155STBD,Wednesday
224,85437.0,155STC,Friday
225,49970.0,155STC,Monday
226,79890.0,155STC,Saturday
227,61269.0,155STC,Sunday
228,85351.0,155STC,Thursday
229,75581.0,155STC,Tuesday
230,80739.0,155STC,Wednesday
231,271760.0,157ST1,Friday
232,161306.0,157ST1,Monday
233,251159.0,157ST1,Saturday
234,187161.0,157ST1,Sunday
235,269256.0,157ST1,Thursday
236,244550.0,157ST1,Tuesday
237,268344.0,157ST1,Wednesday
238,148741.0,15STPROSPECTFG,Friday
239,69922.0,15STPROSPECTFG,Monday
240,136072.0,15STPROSPECTFG,Saturday
241,85533.0,15STPROSPECTFG,Sunday
242,152698.0,15STPROSPECTFG,Thursday
243,125768.0,15STPROSPECTFG,Tuesday
244,145769.0,15STPROSPECTFG,Wednesday
245,658341.0,161YANKEESTAD4BD,Friday
246,451910.0,161YANKEESTAD4BD,Monday
247,699466.0,161YANKEESTAD4BD,Saturday
248,551928.0,161YANKEESTAD4BD,Sunday
249,696405.0,161YANKEESTAD4BD,Thursday
250,601792.0,161YANKEESTAD4BD,Tuesday
251,661854.0,161YANKEESTAD4BD,Wednesday
252,80302.0,163STAMSTERDMC,Friday
253,49447.0,163STAMSTERDMC,Monday
254,77044.0,163STAMSTERDMC,Saturday
255,60066.0,163STAMSTERDMC,Sunday
256,80060.0,163STAMSTERDMC,Thursday
257,71893.0,163STAMSTERDMC,Tuesday
258,78646.0,163STAMSTERDMC,Wednesday
259,328505.0,167ST4,Friday
260,179274.0,167ST4,Monday
261,309145.0,167ST4,Saturday
262,224117.0,167ST4,Sunday
263,327526.0,167ST4,Thursday
264,298431.0,167ST4,Tuesday
265,328913.0,167ST4,Wednesday
266,248024.0,167STBD,Friday
267,145488.0,167STBD,Monday
268,232928.0,167STBD,Saturday
269,176367.0,167STBD,Sunday
270,248532.0,167STBD,Thursday
271,222532.0,167STBD,Tuesday
272,245800.0,167STBD,Wednesday
273,779876.0,168ST1AC,Friday
274,383666.0,168ST1AC,Monday
275,696574.0,168ST1AC,Saturday
276,467368.0,168ST1AC,Sunday
277,779552.0,168ST1AC,Thursday
278,674476.0,168ST1AC,Tuesday
279,774757.0,168ST1AC,Wednesday
280,275400.0,169STF,Friday
281,123227.0,169STF,Monday
282,249195.0,169STF,Saturday
283,154853.0,169STF,Sunday
284,275404.0,169STF,Thursday
285,242048.0,169STF,Tuesday
286,274055.0,169STF,Wednesday
287,274818.0,170ST4,Friday
288,155375.0,170ST4,Monday
289,261163.0,170ST4,Saturday
290,194368.0,170ST4,Sunday
291,274028.0,170ST4,Thursday
292,250092.0,170ST4,Tuesday
293,277558.0,170ST4,Wednesday
294,155074.0,170STBD,Friday
295,92730.0,170STBD,Monday
296,147714.0,170STBD,Saturday
297,113177.0,170STBD,Sunday
298,157542.0,170STBD,Thursday
299,140637.0,170STBD,Tuesday
300,154935.0,170STBD,Wednesday
301,124405.0,174175STSBD,Friday
302,68248.0,174175STSBD,Monday
303,118151.0,174175STSBD,Saturday
304,83273.0,174175STSBD,Sunday
305,125951.0,174175STSBD,Thursday
306,113101.0,174175STSBD,Tuesday
307,125128.0,174175STSBD,Wednesday
308,196895.0,174ST25,Friday
309,102243.0,174ST25,Monday
310,184168.0,174ST25,Saturday
311,134741.0,174ST25,Sunday
312,198089.0,174ST25,Thursday
313,176858.0,174ST25,Tuesday
314,195498.0,174ST25,Wednesday
315,357825.0,175STA,Friday
316,140856.0,175STA,Monday
317,331642.0,175STA,Saturday
318,171541.0,175STA,Sunday
319,356955.0,175STA,Thursday
320,313318.0,175STA,Tuesday
321,353759.0,175STA,Wednesday
322,161490.0,176ST4,Friday
323,93106.0,176ST4,Monday
324,154668.0,176ST4,Saturday
325,115753.0,176ST4,Sunday
326,162660.0,176ST4,Thursday
327,148262.0,176ST4,Tuesday
328,161645.0,176ST4,Wednesday
329,310978.0,181ST1,Friday
330,191620.0,181ST1,Monday
331,288524.0,181ST1,Saturday
332,229677.0,181ST1,Sunday
333,305690.0,181ST1,Thursday
334,281984.0,181ST1,Tuesday
335,313075.0,181ST1,Wednesday
336,345301.0,181STA,Friday
337,143866.0,181STA,Monday
